"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/02/23","1,013.0","1,019.0","1,008.0","1,010.0","-9.0","168,000","4,000","57,000","14.25","-","-","1,011.8","991.5","179,200","244,680"
"2015/02/24","1,009.0","1,036.0","1,006.0","1,034.0","+24.0","326,000","5,000","51,000","10.19","-","-","1,017.4","995.1","217,000","250,240"
"2015/02/25","1,036.0","1,053.0","1,026.0","1,053.0","+19.0","277,000","4,000","43,000","10.75","-","-","1,025.8","999.5","228,400","255,800"
"2015/02/26","1,042.0","1,063.0","1,042.0","1,062.0","+9.0","234,000","13,000","38,000","2.92","-","-","1,035.6","1,004.3","237,800","253,520"
"2015/02/27","1,062.0","1,065.0","1,047.0","1,051.0","-11.0","210,000","5,000","38,000","7.60","-","-","1,042.0","1,007.2","243,000","236,240"
"2015/03/02","1,054.0","1,065.0","1,054.0","1,061.0","+10.0","199,000","9,000","33,000","3.67","-","-","1,052.2","1,010.6","249,200","236,320"
"2015/03/03","1,065.0","1,069.0","1,057.0","1,065.0","+4.0","346,000","11,000","32,000","2.91","-","-","1,058.4","1,014.0","253,200","235,400"
"2015/03/04","1,070.0","1,070.0","1,048.0","1,063.0","-2.0","320,000","9,000","28,000","3.11","-","-","1,060.4","1,016.8","261,800","242,200"
"2015/03/05","1,065.0","1,090.0","1,065.0","1,082.0","+19.0","418,000","11,000","27,000","2.45","-","-","1,064.4","1,020.0","298,600","249,800"
"2015/03/06","1,082.0","1,088.0","1,077.0","1,077.0","-5.0","160,000","11,000","29,000","2.64","-","-","1,069.6","1,023.3","288,600","246,320"
"2015/03/09","1,064.0","1,079.0","1,052.0","1,078.0","+1.0","170,000","11,000","31,000","2.82","-","-","1,073.0","1,025.6","282,800","237,000"
"2015/03/10","1,072.0","1,082.0","1,053.0","1,061.0","-17.0","209,000","7,000","32,000","4.57","-","-","1,072.2","1,027.6","255,400","237,840"
"2015/03/11","1,045.0","1,072.0","1,045.0","1,058.0","-3.0","257,000","5,000","32,000","6.40","-","-","1,071.2","1,029.6","242,800","238,720"
"2015/03/12","1,057.0","1,070.0","1,053.0","1,055.0","-3.0","436,000","6,000","23,000","3.83","-","-","1,065.8","1,032.6","246,400","244,160"
"2015/03/13","1,085.0","1,099.0","1,074.0","1,097.0","+42.0","628,000","17,000","18,000","1.06","-","-","1,069.8","1,037.3","340,000","259,600"
"2015/03/16","1,082.0","1,103.0","1,079.0","1,086.0","-11.0","571,000","12,000","21,000","1.75","-","-","1,071.4","1,041.7","420,200","273,280"
"2015/03/17","1,082.0","1,103.0","1,076.0","1,095.0","+9.0","536,000","13,000","16,000","1.23","-","-","1,078.2","1,045.8","485,600","288,200"
"2015/03/18","1,104.0","1,115.0","1,102.0","1,114.0","+19.0","237,000","15,000","20,000","1.33","-","-","1,089.4","1,050.7","481,600","291,120"
"2015/03/19","1,113.0","1,117.0","1,097.0","1,106.0","-8.0","235,000","16,000","23,000","1.44","-","-","1,099.6","1,054.8","441,400","287,880"
"2015/03/20","1,109.0","1,116.0","1,100.0","1,113.0","+7.0","250,000","15,000","16,000","1.07","-","-","1,102.8","1,058.7","365,800","287,920"
"2015/03/23","1,105.0","1,116.0","1,085.0","1,096.0","-17.0","314,000","9,000","18,000","2.00","-","-","1,104.8","1,062.6","314,400","289,160"
"2015/03/24","1,090.0","1,107.0","1,090.0","1,102.0","+6.0","288,000","10,000","16,000","1.60","-","-","1,106.2","1,066.4","264,800","295,200"
"2015/03/25","1,099.0","1,103.0","1,085.0","1,095.0","-7.0","202,000","8,000","16,000","2.00","-","-","1,102.4","1,069.8","257,800","294,480"
"2015/03/26","1,097.0","1,099.0","1,068.0","1,071.0","-24.0","414,000","7,000","20,000","2.86","-","-","1,095.4","1,072.1","293,600","303,560"
