"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/06","453.0","459.0","451.0","457.0","+2.0","6,453,700","3,460,900","3,970,800","1.15","-","-","455.4","458.6","8,589,940","10,922,864"
"2015/04/07","459.0","464.0","455.0","458.0","+1.0","9,781,500","3,452,300","3,945,800","1.14","-","-","456.0","458.4","8,318,300","10,722,628"
"2015/04/08","460.0","465.0","457.0","465.0","+7.0","10,660,600","3,518,000","3,846,600","1.09","-","-","458.4","458.4","8,504,680","10,728,032"
"2015/04/09","466.0","483.0","462.0","481.0","+16.0","32,596,500","4,017,200","2,192,200","0.55","0.00","-","463.2","458.8","13,126,280","11,575,276"
"2015/04/10","480.0","480.0","465.0","466.0","-15.0","22,050,300","3,654,800","5,263,700","1.44","-","-","465.4","458.6","16,308,520","12,134,504"
"2015/04/13","466.0","467.0","457.0","458.0","-8.0","10,151,400","3,532,300","4,836,900","1.37","-","-","465.6","458.4","17,048,060","12,186,972"
"2015/04/14","456.0","464.0","456.0","464.0","+6.0","9,762,400","3,549,800","4,093,100","1.15","-","-","466.8","458.4","17,044,240","12,280,524"
"2015/04/15","459.0","483.0","459.0","479.0","+15.0","29,516,100","3,949,700","2,866,000","0.73","0.00","-","469.6","459.0","20,815,340","13,159,896"
"2015/04/16","479.0","484.0","474.0","483.0","+4.0","16,306,100","3,791,400","3,539,400","0.93","0.00","-","470.0","459.8","17,557,260","13,432,440"
"2015/04/17","483.0","483.0","477.0","478.0","-5.0","10,307,400","4,185,200","3,827,800","0.91","0.00","-","472.4","460.4","15,208,680","13,303,308"
"2015/04/20","477.0","480.0","473.0","475.0","-3.0","7,822,500","4,121,400","4,734,500","1.15","-","-","475.8","461.3","14,742,900","13,094,600"
"2015/04/21","475.0","485.0","474.0","483.0","+8.0","19,955,700","4,585,900","4,016,700","0.88","0.00","-","479.6","462.6","16,781,560","13,314,768"
"2015/04/22","485.0","488.0","481.0","484.0","+1.0","18,859,200","4,597,800","4,640,400","1.01","-","-","480.6","464.1","14,650,180","13,627,168"
"2015/04/23","485.0","486.0","483.0","485.0","+1.0","8,292,600","4,606,700","4,570,500","0.99","0.00","-","481.0","465.4","13,047,480","13,413,324"
"2015/04/24","484.0","491.0","482.0","488.0","+3.0","17,639,100","5,081,100","5,389,400","1.06","-","-","483.0","466.5","14,513,820","13,300,708"
"2015/04/27","492.0","495.0","489.0","489.0","+1.0","13,186,800","5,260,900","3,329,200","0.63","0.00","-","485.8","467.8","15,586,680","13,345,572"
"2015/04/28","490.0","494.0","484.0","489.0","0.0","13,770,300","4,934,800","4,553,700","0.92","0.00","-","487.0","468.9","14,349,600","13,446,092"
"2015/04/30","488.0","491.0","485.0","490.0","+1.0","12,146,900","4,847,400","4,899,200","1.01","-","-","488.2","470.2","13,007,140","13,502,756"
"2015/05/01","491.0","491.0","479.0","485.0","-5.0","11,014,900","4,171,700","4,766,500","1.14","-","-","488.2","471.5","13,551,600","13,617,044"
"2015/05/07","485.0","506.0","484.0","504.0","+19.0","46,874,800","5,481,800","3,530,000","0.64","0.00","-","491.4","473.5","19,398,740","15,048,012"
"2015/05/08","503.0","514.0","499.0","512.0","+8.0","45,962,000","4,467,400","3,171,500","0.71","0.00","-","496.0","475.7","25,953,780","16,384,272"
"2015/05/11","515.0","521.0","507.0","512.0","0.0","27,463,900","4,517,900","1,931,900","0.43","0.05","-","500.6","478.0","28,692,500","17,037,240"
"2015/05/12","514.0","519.0","508.0","518.0","+6.0","15,773,300","4,551,100","3,697,500","0.81","0.00","-","506.2","480.6","29,417,780","17,279,024"
"2015/05/13","518.0","528.0","516.0","526.0","+8.0","32,457,700","4,350,100","4,574,400","1.05","-","-","514.4","483.3","33,706,340","18,197,792"
"2015/05/14","526.0","528.0","513.0","517.0","-9.0","16,102,100","4,178,000","4,020,800","0.96","0.00","-","517.0","485.8","27,551,800","18,596,312"
"2015/05/15","519.0","522.0","511.0","514.0","-3.0","10,068,300","4,168,600","3,832,400","0.92","0.00","-","517.4","488.1","20,373,060","18,740,896"
"2015/05/18","512.0","520.0","511.0","520.0","+6.0","11,011,600","4,295,000","3,393,900","0.79","0.00","-","519.0","490.6","17,082,600","18,790,100"
"2015/05/19","520.0","527.0","517.0","519.0","-1.0","15,625,900","4,551,600","3,156,200","0.69","0.00","-","519.2","492.7","17,053,120","18,988,712"
"2015/05/20","523.0","549.0","522.0","549.0","+30.0","40,002,400","5,504,800","5,125,000","0.93","0.00","-","523.8","495.4","18,562,060","19,284,948"
"2015/05/21","554.0","630.0","550.0","586.0","+37.0","288,587,600","4,060,700","6,063,900","1.49","-","-","537.6","500.2","73,059,160","29,946,440"
"2015/05/22","594.0","598.0","572.0","585.0","-1.0","83,354,300","3,703,000","5,230,200","1.41","-","-","551.8","505.3","87,716,360","32,874,556"
